Nazwa przedmiotu	Rok studiów	Prowadzący	Limit miejsc	Forma zaliczenia sem. zimowy	Forma zaliczenia sem. letni	Liczba godzin sem. zimowy	Liczba godzin sem. letni	ECTS semestr zimowy	ECTS semestr letni	ECTS łącznie	Wydział	Jednostka	Dzień tygodnia	Godzina rozpoczęcia	Godzina zakończenia	Sala	Dodatkowe informacje o zaliczeniu	Uwagi	Semestr
Orkiestra barokowa	L/M	dr Paweł Miczka	20	zst	zst	3	3	3	3	6	II		termin ustali prowadzący						
Zespół kameralny (duet)	L/M	Pedagodzy Wydziału Instrumentalnego	2-5	ekm	ekm	1	1	2	2	4	II		termin ustali prowadzący						
Zespół kameralny (trio, kwartet, kwintet)	L/M	Pedagodzy Wydziału Instrumentalnego	2-5	ekm	ekm	2	2	4	4	8	II		termin ustali prowadzący						
Chór im. S. Krukowskiego	L/M	mgr Magdalena Wojtas	60	zst	zst	3	3	3	3	6	II		środa	15:15	17:30	001B			
Analiza materiałów źródłowych	2L	dr Grzegorz Joachimiak	10	zst	egz	2	2	2	2	4	II		wtorek	10:00	11:30	217A			
Problemy wykonawcze muzyki dawnej	1M	dr Grzegorz Joachimiak	20	zal	zal	1	1	1	1	2	II		wtorek	09:00	09:45	217A			
Budowa i strojenie instrumentów	1-3L	mgr Kazimierz Pyzik	10	zal	zal	1	1	1	1	2	II		termin ustali prowadzący						
Język niemiecki (B1/B2)	L/M	mgr Marcin Marek	7	zst	egz	2	2	2	2	4	II		grupa do uzgodnienia z prow. zajęcia w zależności od poziomu języka						
Język włoski (B1/B2)	L/M	mgr Anna Karaś	4	zst	egz	2	2	2	2	4	II		środa	08:55	10:25	204F			
Praca nad plastyką ciała z elementami tańca	1L	mgr Elżbieta Lejman-Krzysztyniak	2	zst	zst	2	2	1	1	2	III		czwartek	11:35	13:05				
Praca nad plastyką ciała z elementami tańca	2L	mgr Elżbieta Lejman-Krzysztyniak	2	zst	zst	2	2	1	1	2	III		wtorek	12:30	14:00				
Pantomima (grupa 1)	1L	mgr Agnieszka Kulińska	4	zst	egz	2	2	1	1	2	III		wtorek	14:10	16:00	204E			
Pantomima (grupa 2)	1L	mgr Agnieszka Kulińska	4	zst	egz	2	2	1	1	2	III		wtorek	16:00	17:30	204E			
